class_code nearest_ref_id gene_id gene_short_name tss_id locus length biotype
ENSMUSG00000000031.9 - - ENSMUSG00000000031.9 H19 - chr7:142575528-142578143 - lincRNA
ENSMUSG00000000058.6 - - ENSMUSG00000000058.6 Cav2 - chr6:17197750-17385604 - protein_coding
ENSMUSG00000000184.9 - - ENSMUSG00000000184.9 Ccnd2 - chr6:127125778-127212411 - protein_coding
ENSMUSG00000000216.8 - - ENSMUSG00000000216.8 Scnn1g - chr7:121734478-121768475 - protein_coding
ENSMUSG00000000402.2 - - ENSMUSG00000000402.2 Egfl6 - chrX:166523006-166585720 - protein_coding
ENSMUSG00000001025.4 - - ENSMUSG00000001025.4 S100a6 - chr3:90612893-90614414 - protein_coding
ENSMUSG00000001435.8 - - ENSMUSG00000001435.8 Col18a1 - chr10:77032240-77166548 - protein_coding
ENSMUSG00000001525.9 - - ENSMUSG00000001525.9 Tubb5 - chr17:35833925-35838306 - protein_coding
ENSMUSG00000002944.9 - - ENSMUSG00000002944.9 Cd36 - chr5:17781689-17888959 - protein_coding
ENSMUSG00000003038.9 - - ENSMUSG00000003038.9 Hmgn2 - chr4:133964737-133968650 - protein_coding
ENSMUSG00000004044.9 - - ENSMUSG00000004044.9 Ptrf - chr11:100956732-100970887 - protein_coding
ENSMUSG00000004655.5 - - ENSMUSG00000004655.5 Aqp1 - chr6:55336431-55348555 - protein_coding
ENSMUSG00000005732.8 - - ENSMUSG00000005732.8 Ranbp1 - chr16:18239783-18289249 - protein_coding
ENSMUSG00000006390.9 - - ENSMUSG00000006390.9 Elovl1 - chr4:118428092-118437352 - protein_coding
ENSMUSG00000007655.10 - - ENSMUSG00000007655.10 Cav1 - chr6:17197750-17385604 - protein_coding
ENSMUSG00000007670.9 - - ENSMUSG00000007670.9 Khsrp - chr17:57021057-57031507 - protein_coding
ENSMUSG00000008035.6 - - ENSMUSG00000008035.6 Mid1ip1 - chrX:10707175-10719690 - protein_coding
ENSMUSG00000009575.8 - - ENSMUSG00000009575.8 Cbx5 - chr15:103191543-103239816 - protein_coding
ENSMUSG00000013089.9 - - ENSMUSG00000013089.9 Etv5 - chr16:22381308-22439719 - protein_coding
ENSMUSG00000013236.10 - - ENSMUSG00000013236.10 Ptprs - chr17:56412430-56476483 - protein_coding
ENSMUSG00000015093.9 - - ENSMUSG00000015093.9 Clic3 - chr2:25455140-25461094 - protein_coding
ENSMUSG00000015452.8 - - ENSMUSG00000015452.8 Ager - chr17:34597861-34600936 - protein_coding
